uid,order_no,date,qty,price,genre,author
20485092,11146,2023-12-28,1,4.0,Mystery,"Slaughter, Karin"
20485092,11146,2023-12-28,1,5.0,Mystery,"Hooper, Kay"
20485092,11146,2023-12-28,1,5.0,Mystery,"Higgins, Jack"
30799608,11147,2023-12-28,1,5.0,Mystery,"Cussler, Clive,Du Brul, Jack"
30799608,11147,2023-12-28,1,4.5,Mystery,"Frey, Stephen"
30799608,11147,2023-12-28,1,5.0,American History,"Flynn, Vince,Mills, Kyle"
30799608,11147,2023-12-28,1,3.99,Mystery,"Crais, Robert"
30799608,11147,2023-12-28,1,4.0,Mystery,"Francis, Dick"
30799608,11147,2023-12-28,1,4.0,Mystery,"Evanovich, Janet"
30799608,11147,2023-12-28,1,5.0,Mystery,"Crais, Robert"
35901266,11149,2023-12-28,1,9.0,Mystery,"Patterson, James"
80062929,11150,2023-12-28,1,9.0,Fantasy,"Abraham, Daniel"
80062929,11150,2023-12-28,1,10.5,Fantasy,"Bradley, Marion Zimmer"
73099383,11151,2023-12-28,1,16.99,Young Adult & Teen,"Hoover, Colleen"
73099383,11151,2023-12-28,1,17.99,Romance,"Silver, Elsie"
73099383,11151,2023-12-28,1,14.0,Young Adult & Teen,"Hazelwood, Ali"
73099383,11151,2023-12-28,1,12.0,Memoirs,"Wiesel, Elie"
73099383,11151,2023-12-28,1,35.0,Graphic Novels,"Spiegelman, Art"
22910363,11154,2023-12-28,1,4.0,Fantasy,"Nagata, Linda"
85120969,11155,2023-12-28,1,5.0,Mystery,"Woods, Stuart"
85120969,11155,2023-12-28,1,5.0,Mystery,"Clancy, Tom,Telep, Peter"
85120969,11155,2023-12-28,1,8.5,Mystery,"Baldacci, David"
54612532,11156,2023-12-28,1,5.0,Fantasy,"Huff, Tanya"
54612532,11156,2023-12-28,1,5.5,Fantasy,"Huff, Tanya"
54612532,11156,2023-12-28,1,5.0,Science Fiction,"Anderson, Poul"
54612532,11156,2023-12-28,1,5.0,Science Fiction,"Ringo, John"
30937628,11157,2023-12-28,1,3.49,Westerns,"Johnstone, William W."
30937628,11157,2023-12-28,1,3.75,Westerns,"Johnstone, William W.,Johnstone, J.A."
30937628,11157,2023-12-28,1,3.0,Westerns,"Johnstone, William W."
30681651,11158,2023-12-28,1,5.0,Mystery,"Hoag, Tami"
30681651,11158,2023-12-28,1,5.0,Mystery,"Hoag, Tami"
30681651,11158,2023-12-28,1,4.0,Romance,"Michaels, Fern"
30681651,11158,2023-12-28,1,4.0,Romance,"Spencer, LaVyrle"
30681651,11158,2023-12-28,1,4.0,Romance,"Dodd, Christina"
37655723,11159,2023-12-28,1,5.0,Romance,"Michaels, Fern,Foster, Lori,Brown, Carolyn"
59739180,11163,2023-12-29,1,3.0,Westerns,
59739180,11163,2023-12-29,1,2.99,Westerns,
59739180,11163,2023-12-29,1,3.0,Westerns,
59739180,11163,2023-12-29,1,3.5,Westerns,"L'Amour, Louis"
59739180,11163,2023-12-29,1,2.99,Westerns,
52336409,11166,2023-12-29,1,5.0,Mystery,"Connelly, Michael"
52336409,11166,2023-12-29,1,5.0,Mystery,"Baldacci, David"
37054083,11167,2023-12-29,1,3.5,Fiction,"Flagg, Fannie"
37054083,11167,2023-12-29,1,8.0,Fiction,"Greenwood, Bryn"
37054083,11167,2023-12-29,1,6.0,Fantasy,"Rothfuss, Patrick"
37054083,11167,2023-12-29,1,4.0,Romance,"Yarros, Rebecca"
37054083,11167,2023-12-29,1,5.0,Paranormal Romance,"Graham, Heather"
37054083,11167,2023-12-29,1,8.0,Young Adult & Teen,"Mahurin, Shelby"
37054083,11167,2023-12-29,1,11.0,Young Adult & Teen,"Aveyard, Victoria"
3997857,11168,2023-12-29,1,4.0,Romance,"Martin, Kat"
3997857,11168,2023-12-29,1,8.0,Romance,"Roberts, Nora"
3997857,11168,2023-12-29,1,4.5,Romance,"Steel, Danielle"
58945902,11174,2023-12-29,1,6.5,Kid's Picture Books,"Whitehill, Simcha"
58945902,11174,2023-12-29,1,2.5,Kid's Non Fiction ,
58945902,11174,2023-12-29,1,2.5,Kid's Non Fiction ,
58945902,11174,2023-12-29,1,2.5,Kid's Non Fiction ,
58945902,11174,2023-12-29,1,2.5,Kid's Chapter Books,"Busse, R. R."
58945902,11174,2023-12-29,1,1.99,Kid's Chapter Books,"Hapka, Catherine"
58945902,11174,2023-12-29,1,7.0,Kid's Non Fiction ,"Scholastic,"
44729714,11175,2023-12-29,1,3.5,Romance,"Bach, Lauren"
44729714,11175,2023-12-29,1,9.0,Erotica,"McCarty, Sarah"
44729714,11175,2023-12-29,1,7.0,Erotica,"Maynard, Janice"
44729714,11175,2023-12-29,1,6.5,Young Adult & Teen,"Rhodes, Morgan"
44729714,11175,2023-12-29,1,6.0,Young Adult & Teen,"Garber, Stephanie"
44729714,11175,2023-12-29,1,5.0,Young Adult & Teen,"Marr, Melissa"
44729714,11175,2023-12-29,1,4.5,Young Adult & Teen,"Marr, Melissa"
44729714,11175,2023-12-29,1,7.5,Romance,"Bosnak, Karyn"
44729714,11175,2023-12-29,1,14.0,Young Adult & Teen,"Hazelwood, Ali"
96434079,11176,2023-12-30,1,5.0,Self -Help,"Hart, Archibald D."
96434079,11176,2023-12-30,1,25.0,Memoirs,"Opdyke, Irene Gut"
96434079,11176,2023-12-30,1,9.99,Cooking,"Simons, Amelia"
96434079,11176,2023-12-30,1,8.5,Self -Help,"Beattie, Melody"
96434079,11176,2023-12-30,1,11.0,Memoirs,"McGregor, Ewan,Boorman, Charley"
96434079,11176,2023-12-30,1,15.0,Sports,"Jwing-Ming, Yang"
96434079,11176,2023-12-30,1,0.5,Best Seller,
42381464,11177,2023-12-30,1,3.0,Westerns,"Johnstone, William W."
42381464,11177,2023-12-30,1,4.0,Westerns,"West, Charles G."
42381464,11177,2023-12-30,1,4.5,Westerns,"Johnstone, William W.,Johnstone, J.A."
42381464,11177,2023-12-30,1,4.0,Westerns,"Cotton, Ralph"
42381464,11177,2023-12-30,1,3.49,Westerns,"Compton, Ralph,Cotton, Ralph"
42381464,11177,2023-12-30,1,7.99,Mystery,"Baldacci, David"
76211058,11178,2023-12-30,1,7.0,Fantasy,"Cunningham, Elaine"
74435098,11179,2023-12-30,1,5.0,Romance,"Quick, Amanda"
74435098,11179,2023-12-30,1,4.5,Romance,"Quick, Amanda"
74435098,11179,2023-12-30,1,4.5,Romance,"Quick, Amanda"
74435098,11179,2023-12-30,1,4.5,Romance,"Quick, Amanda"
74435098,11179,2023-12-30,1,5.0,Romance,"Quick, Amanda"
74435098,11179,2023-12-30,1,6.48,Romance,"Quick, Amanda"
74435098,11179,2023-12-30,1,4.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,5.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.0,Mystery,"Coulter, Catherine"
74435098,11179,2023-12-30,1,5.0,Mystery,"Gerritsen, Tess"
74435098,11179,2023-12-30,1,4.0,Mystery,"Gerritsen, Tess"
74435098,11179,2023-12-30,1,5.5,Mystery,"Robb, J. D."
74435098,11179,2023-12-30,1,4.0,Mystery,"Robb, J. D."
74435098,11179,2023-12-30,1,4.0,Romance,"Neggers, Carla"
74435098,11179,2023-12-30,1,5.0,Mystery,"Kellerman, Jonathan,Kellerman, Jesse"
74435098,11179,2023-12-30,1,4.0,Mystery,"Jance, J. A"
74435098,11179,2023-12-30,1,5.0,Mystery,"Sandford, John"
74435098,11179,2023-12-30,1,4.99,Mystery,"Sandford, John"
74435098,11179,2023-12-30,1,4.5,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.5,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,4.0,Mystery,"Johansen, Iris"
74435098,11179,2023-12-30,1,3.5,American History,"Doner, Kalia"
74435098,11179,2023-12-30,1,5.0,Mystery,"Sandford, John"
74435098,11179,2023-12-30,1,4.5,Mystery,"Brockmann, Suzanne"
74435098,11179,2023-12-30,1,4.5,Mystery,"Graham, Heather"
74435098,11179,2023-12-30,4,1.0,Young Adult & Teen,"White, Hope"
74435098,11179,2023-12-30,3,1.0,Romance,"Miller, Linda Lael"
25997644,11184,2023-12-30,1,9.99,Humor,"Niro, Jimmy"
25997644,11184,2023-12-30,1,4.75,Kid's Picture Books,"Publications, Editors of Phoenix International"
25997644,11184,2023-12-30,1,6.0,Kid's Chapter Books,"Silverstein, Shel"
50328208,11186,2023-12-30,1,3.99,Fiction,"Binchy, Maeve"
50328208,11186,2023-12-30,1,4.5,Romance,"Binchy, Maeve"
50328208,11186,2023-12-30,1,9.99,Historical Fiction,"Binchy, Maeve"
43487042,11190,2023-12-30,1,8.0,Historical Fiction,"McMorris, Kristina"
43487042,11190,2023-12-30,1,8.5,Historical Fiction,"Perseus,"
30586178,11194,2023-12-30,1,10.95,Reference,"Almanac, Old Farmer's"
74080793,11195,2023-12-30,1,1.99,Kid's Picture Books,"Rinker, Sherri Duskey,Lichtenheld, Tom"
74080793,11195,2023-12-30,1,3.98,Kid's Non Fiction ,"Kids, National Geographic"
74080793,11195,2023-12-30,1,6.0,Kid's Non Fiction ,"Wagner, Veronica"
30586178,11196,2023-12-30,1,9.48,Home Arts,"Wood, Dorothy"
